game,state,date,position,result
CORUJA,RJ,2018-05-17,2,7512
CORUJA,RJ,2018-05-17,3,9227
CORUJA,RJ,2018-05-17,4,4115
CORUJA,RJ,2018-05-17,5,9700
PT,SP,2018-05-24,1,3148
PT,SP,2018-05-24,2,6007
PT,SP,2018-05-24,3,6188
PT,SP,2018-05-24,4,3549
PT,SP,2018-05-24,5,5728
PT,SP,2018-05-24,6,4620
PT,SP,2018-05-23,23,2018
PT,SP,2018-05-23,1,6003
PT,SP,2018-05-23,2,4607
PT,SP,2018-05-23,3,8336
PT,SP,2018-05-23,4,3071
PT,SP,2018-05-23,5,9032
PT,SP,2018-05-23,6,1049
PTN,SP,2018-05-22,22,2018
PTN,SP,2018-05-22,1,7653
PT,RJ,2018-05-27,2,2493
PT,RJ,2018-05-27,3,3985
PT,RJ,2018-05-27,4,0367
PT,RJ,2018-05-27,5,2544
PT,RJ,2018-05-27,6,5544
PT,RJ,2018-05-26,1,8495
PT,RJ,2018-05-26,2,8493
PT,RJ,2018-05-26,3,5823
PT,RJ,2018-05-26,4,3709
PT,RJ,2018-05-26,5,6660
PT,RJ,2018-05-26,6,3180
PT,RJ,2018-05-25,1,5037
CORUJA,RJ,2018-05-17,6,9527
CORUJA,RJ,2018-05-16,1,6262
CORUJA,RJ,2018-05-16,2,1975
CORUJA,RJ,2018-05-16,3,9422
CORUJA,RJ,2018-05-16,4,6931
CORUJA,RJ,2018-05-16,5,2470
CORUJA,RJ,2018-05-16,6,7060
CORUJA,RJ,2018-05-15,1,8309
CORUJA,RJ,2018-05-15,2,9849
CORUJA,RJ,2018-05-15,3,5183
CORUJA,RJ,2018-05-15,4,4959
CORUJA,RJ,2018-05-15,5,3448
CORUJA,RJ,2018-05-15,6,1748
PTN,SP,2018-05-22,2,8171
PTN,SP,2018-05-22,3,9004
PTN,SP,2018-05-22,4,6208
PTN,SP,2018-05-22,5,3350
PTN,SP,2018-05-22,6,4386
PT,SP,2018-05-22,22,2018
PT,SP,2018-05-22,1,0440
PT,SP,2018-05-22,2,2571
PT,SP,2018-05-22,3,4075
PT,SP,2018-05-22,4,0336
PT,SP,2018-05-22,5,7755
PT,SP,2018-05-22,6,5177
PTN,SP,2018-05-21,21,2018
PTN,SP,2018-05-21,1,9559
PTN,SP,2018-05-21,2,3874
PT,RJ,2018-05-25,2,2219
PT,RJ,2018-05-25,3,7193
PT,RJ,2018-05-25,4,0693
PT,RJ,2018-05-25,5,3472
PT,RJ,2018-05-25,6,8614
PT,RJ,2018-05-24,1,4796
PT,RJ,2018-05-24,2,7758
PT,RJ,2018-05-24,3,0153
PT,RJ,2018-05-24,4,2039
PT,RJ,2018-05-24,5,6962
PT,RJ,2018-05-24,6,1708
PT,RJ,2018-05-23,1,2803
PTN,SP,2018-05-21,3,5875
PTN,SP,2018-05-21,4,7297
PTN,SP,2018-05-21,5,7009
PTN,SP,2018-05-21,6,3614
PT,SP,2018-05-21,21,2018
PT,SP,2018-05-21,1,2577
PT,SP,2018-05-21,2,4688
PT,SP,2018-05-21,3,2959
PT,SP,2018-05-21,4,2915
PT,SP,2018-05-21,5,1688
PT,SP,2018-05-21,6,4827
PT,RJ,2018-05-23,2,5479
PT,RJ,2018-05-23,3,5701
PT,RJ,2018-05-23,4,3795
PT,RJ,2018-05-23,5,0008
PT,RJ,2018-05-23,6,7786
PT,RJ,2018-05-22,1,4470
PT,RJ,2018-05-22,2,2690
PT,RJ,2018-05-22,3,3181
PT,RJ,2018-05-22,4,3476
PT,RJ,2018-05-22,5,5020
PT,RJ,2018-05-22,6,8837
PTM,RJ,2018-05-13,1,2737
PTM,RJ,2018-05-13,2,6880
PTM,RJ,2018-05-13,3,6874
PTM,RJ,2018-05-13,4,2614
PTM,RJ,2018-05-13,5,1792
PTM,RJ,2018-05-13,6,0897
PTM,RJ,2018-12-05,1,8138
PTM,RJ,2018-12-05,2,3991
PTM,RJ,2018-12-05,3,5036
PTM,RJ,2018-12-05,4,3538
PTM,RJ,2018-12-05,5,8242
PTM,RJ,2018-12-05,6,8945
PTM,RJ,2018-11-05,1,2088
PTM,RJ,2018-11-05,2,4652
PTM,RJ,2018-11-05,3,5222
PTM,RJ,2018-11-05,4,3919
PTM,RJ,2018-11-05,5,4248
PTM,RJ,2018-11-05,6,0129
PTM,RJ,2018-10-05,1,5521
PTM,RJ,2018-10-05,2,6268
PTM,RJ,2018-10-05,3,3282
PTM,RJ,2018-10-05,4,2055
PTM,RJ,2018-10-05,5,4076
PTM,RJ,2018-10-05,6,1202
PTM,RJ,2018-09-05,1,7023
PTM,RJ,2018-09-05,2,9636
PTM,RJ,2018-09-05,3,9973
PTM,RJ,2018-09-05,4,9511
PTM,RJ,2018-09-05,5,7490
PTM,RJ,2018-09-05,6,3633
PTM,RJ,2018-08-05,1,4155
PTM,RJ,2018-08-05,2,6584
PTM,RJ,2018-08-05,3,7026
PTM,RJ,2018-08-05,4,4063
PTM,RJ,2018-08-05,5,1983
PTM,RJ,2018-08-05,6,3811
PTM,RJ,2018-07-05,1,5410
PTM,RJ,2018-07-05,2,5685
PTM,RJ,2018-07-05,3,6464
PTM,RJ,2018-07-05,4,0198
PTM,RJ,2018-07-05,5,7313
PTM,RJ,2018-07-05,6,5070
CORUJA,RJ,2018-05-14,1,3512
CORUJA,RJ,2018-05-14,2,8007
CORUJA,RJ,2018-05-14,3,0457
CORUJA,RJ,2018-05-14,4,5714
CORUJA,RJ,2018-05-14,5,0596
CORUJA,RJ,2018-05-14,6,8286
CORUJA,RJ,2018-12-05,1,7150
CORUJA,RJ,2018-12-05,2,3157
CORUJA,RJ,2018-12-05,3,4259
CORUJA,RJ,2018-12-05,4,7391
CORUJA,RJ,2018-12-05,5,0477
CORUJA,RJ,2018-12-05,6,2434
